Purgatory Resort,Ski Condominium...ski in ski out,Condominio completo,"$1,383",Norm,117 evaluaciones,5,"['4 huéspedes', '1 recámara', '2 camas', '1 baño', '\U000f0004\n117 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/4445292?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Slopeside Condo Purgatory Durango Mountain Resort,Condominio completo,"$1,344",David,43 evaluaciones,5,"['4 huéspedes', 'estudio', '2 camas', '1 baño', '\U000f0004\n43 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/23188788?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Epic Purg Retreat - Summer Adventure & Hiking,Condominio completo,"$1,690",Kaysha,23 evaluaciones,5,"['4 huéspedes', 'estudio', '3 camas', '1 baño', '\U000f0004\n96 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/31103549?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Explore the San Juan's!,Condominio completo,"$1,018",Lisa,44 evaluaciones,5,"['4 huéspedes', '1 recámara', '1 cama', '1 baño', '\U000f0004\n44 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/27581339?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Mountain Getaway,Condominio completo,"$2,400",Nikolas,3 evaluaciones,5,"['4 huéspedes', '1 recámara', '3 camas', '1 baño', '\U000f0004\n3 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/36355584?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Angelhaus Purgatory Newly Renovated Condo,Condominio completo,"$2,400",Laurie,21 evaluaciones,5,"['5 huéspedes', '1 recámara', '3 camas', '1 baño', '\U000f0004\n21 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/9401244?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Mountain Ski Condo,Casa entera,"$1,440",Carla,63 evaluaciones,5,"['4 huéspedes', '1 recámara', '1 cama', '1 baño', '\U000f0004\n63 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/18121840?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,"House 25miles north of Durango, Co",Casa entera,"$3,053",Paul,186 evaluaciones,5,"['6 huéspedes', '2 recámaras', '3 camas', '1 baño completo y uno de tocador', '\U000f0004\n246 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/3308815?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,PRIVATE SLOPE-SIDE WITH BEST VIEWS ON THE MOUNTAIN,Alojamiento entero,"$1,901",Regina,8 evaluaciones,4.5,"['4 huéspedes', '1 recámara', '3 camas', '1 baño', '\U000f0004\n190 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/23749824?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Magnificient Views from our Hot Tub & 4 Bed 4 Bath,Condominio completo,"$2,881",Rob Or Scott,16 evaluaciones,5,"['14 huéspedes', '4 recámaras', '10 camas', '4 baños', '\U000f0004\n344 evaluaciones', '\U000f0019\nVerificado']",https://www.airbnb.mx/rooms/28963889?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Awesome Views - Heated Pool - Free Ski Shuttle - 4th Night Free,Departamento entero,"$2,592",Premier Vacation Rentals,3 evaluaciones,4.5,"['6 huéspedes', '3 recámaras', '3 camas', '2 baños', '\U000f0004\n457 evaluaciones']",https://www.airbnb.mx/rooms/16253077?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Mountain Townhome - Great Views - Free Shuttle,Casa adosada completa,"$2,842",Premier Vacation Rentals,1 evaluación,,"['7 huéspedes', '3 recámaras', '5 camas', '3 baños', '\U000f0004\n457 evaluaciones']",https://www.airbnb.mx/rooms/16253014?location=Purgatory%20Resort&previous_page_section_name=1000
Purgatory Resort,Awesome Views - Heated Pool - Free Ski Shuttle - Big TV - Enclosed Loft,Departamento entero,"$2,996",Premier Vacation Rentals,3 evaluaciones,4.5,"['8 huéspedes', '3 recámaras', '5 camas', '3 baños', '\U000f0004\n457 evaluaciones']",https://www.airbnb.mx/rooms/15737342?location=Purgatory%20Resort&previous_page_section_name=1000
