city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Whistler,˙Studio Condo Whistler Village 223,Departamento entero,1097.0,Bill,400,5.0,https://www.airbnb.mx/rooms/12071124?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Whistler,Studio Condo Upper Village Tranquility,Departamento entero,1170.0,Bill,479,5.0,https://www.airbnb.mx/rooms/7309668?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,1 BR Townhome with Private Hot Tub - FREE PARKING,Casa adosada completa,1681.0,Ian,313,4.5,https://www.airbnb.mx/rooms/2520507?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Peak View Penthouse,Loft entero,1886.0,Jane & James,161,5.0,https://www.airbnb.mx/rooms/13348663?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,˙Studio Condo Whistler Village 207,Departamento entero,1243.0,Bill,287,5.0,https://www.airbnb.mx/rooms/16041781?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,1 BR Townhouse with Private Hot Tub - FREE PARKING,Casa adosada completa,1857.0,Ian,321,4.5,https://www.airbnb.mx/rooms/4828768?location=Whistler&previous_page_section_name=1000,5.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Whistler,·Hotel Room Upper Village Tranquility,Alojamiento entero,1389.0,Bill,517,5.0,https://www.airbnb.mx/rooms/7310283?location=Whistler&previous_page_section_name=1000,2.0, '1 cama', '1 baño', '\U000f0004\n5073 evaluaciones',1.0,1.0,45073.0
Whistler,Whistler Creekside Villa - single nights now open!,Departamento entero,1155.0,Beth,338,4.5,https://www.airbnb.mx/rooms/1295382?location=Whistler&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,⛰️ 1 Bdrm Modern Village Penthouse - view!,Departamento con servicios completo,2471.0,Victoria And Christian,435,5.0,https://www.airbnb.mx/rooms/9670429?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Modern Mountain Studio in the Village,Departamento con servicios completo,1886.0,Anya,134,5.0,https://www.airbnb.mx/rooms/14438965?location=Whistler&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
