city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Whistler,˙Studio Condo Whistler Village 223,Departamento entero,1090.0,Bill,400,5.0,https://www.airbnb.mx/rooms/12071124?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Whistler,Studio Condo Upper Village Tranquility,Departamento entero,1163.0,Bill,479,5.0,https://www.airbnb.mx/rooms/7309668?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,˙Studio Condo Whistler Village 201,Condominio completo,1163.0,Bill,144,5.0,https://www.airbnb.mx/rooms/22196091?location=Whistler&previous_page_section_name=1000,3.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,˙Studio Condo Whistler Village 207,Departamento entero,1235.0,Bill,287,5.0,https://www.airbnb.mx/rooms/16041781?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Modern Mountain Studio in the Village,Departamento con servicios completo,1875.0,Anya,134,5.0,https://www.airbnb.mx/rooms/14438965?location=Whistler&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,ˑEight People Upper Village Tranquility,Condominio completo,1235.0,Bill,320,5.0,https://www.airbnb.mx/rooms/13335461?location=Whistler&previous_page_section_name=1000,8.0, '1 recámara', '4 camas', '2 baños',1.0,4.0,2.0
Whistler,Newly updated condo at Blackcomb base,Condominio completo,1453.0,Caroline,122,4.5,https://www.airbnb.mx/rooms/13126268?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,Minimalist Vibe with Amazing Mountain Views,Departamento con servicios completo,2746.0,Victoria And Christian,338,5.0,https://www.airbnb.mx/rooms/13283018?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,Well Located Whistler Home With A View,Casa entera,1177.0,Graham,2,,https://www.airbnb.mx/rooms/25841820?location=Whistler&previous_page_section_name=1000,6.0, '3 recámaras', '4 camas', '2 baños',3.0,4.0,2.0
Whistler,Whistler Village Main St. Suite,Departamento entero,1816.0,Dan,98,5.0,https://www.airbnb.mx/rooms/29690566?location=Whistler&previous_page_section_name=1000,3.0, 'estudio', '5 camas', '1 baño',0.5,5.0,1.0
Whistler,Whistler Village-Great location-Free Parking,Condominio completo,1439.0,Marco,125,5.0,https://www.airbnb.mx/rooms/25107534?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,"Market Pavilion 303 - Great village location, free parking and wifi",Condominio completo,1351.0,Whistler Superior,1,,https://www.airbnb.mx/rooms/30015257?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Captivating Townhouse in Whistler Village w/Deck,Casa adosada completa,1671.0,Dany,,,https://www.airbnb.mx/rooms/35936116?location=Whistler&previous_page_section_name=1000,6.0, '2 recámaras', '2 camas', '2 baños',2.0,2.0,2.0
Whistler,"Heart of village, full condo, modern, hot tub",Condominio completo,1453.0,Sara,164,5.0,https://www.airbnb.mx/rooms/16605113?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '1 cama', '1 baño completo y uno de tocador',0.5,1.0,1.0
Whistler,Updated Ground Floor Condo at The Marquise on Blackcomb,Condominio completo,1657.0,Whistler Superior,1,,https://www.airbnb.mx/rooms/30015380?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Whistler ski studio,Condominio completo,1148.0,Ruby,114,5.0,https://www.airbnb.mx/rooms/21913642?location=Whistler&previous_page_section_name=1000,3.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Peak View Penthouse,Loft entero,1875.0,Jane & James,161,5.0,https://www.airbnb.mx/rooms/13348663?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,·Hotel Room Upper Village Tranquility,Alojamiento entero,1381.0,Bill,517,5.0,https://www.airbnb.mx/rooms/7310283?location=Whistler&previous_page_section_name=1000,2.0, '1 cama', '1 baño', '\U000f0004\n5069 evaluaciones',1.0,1.0,45069.0
Whistler,Symphony Studio in Whistler Village,Departamento entero,1744.0,Musubi,198,5.0,https://www.airbnb.mx/rooms/18074253?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,˙Studio Condo Whistler Village 224,Departamento entero,1090.0,Bill,422,5.0,https://www.airbnb.mx/rooms/12056053?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Whistler,Cozy studio on Main Street with hot tub and pool,Condominio completo,1293.0,Jenny And Roman,212,5.0,https://www.airbnb.mx/rooms/17942811?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Whistler,ˑHotel Room 2 Queen Beds Upper Village Tranquility,Departamento entero,1163.0,Bill,39,4.5,https://www.airbnb.mx/rooms/29685632?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,"Ski-in, Ski-Out Condo, The Aspens",Departamento con servicios completo,1744.0,Jayne,95,5.0,https://www.airbnb.mx/rooms/3802963?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Bright Studio on Main Street w pool/hot tub,Condominio completo,1293.0,Jenny And Roman,166,5.0,https://www.airbnb.mx/rooms/19895993?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Newly renovated 1 Bdr townhouse,Casa adosada completa,1632.0,Karen And Gord,61,5.0,https://www.airbnb.mx/rooms/25264112?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Village Townhome: Outdoor Hot Tub & Pool,Casa adosada completa,1526.0,Mike + Fallon,149,5.0,https://www.airbnb.mx/rooms/16757103?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
