city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Whistler,˙Studio Condo Whistler Village 223,Departamento entero,1086.0,Bill,398,5.0,https://www.airbnb.mx/rooms/12071124?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Whistler,Studio Condo Upper Village Tranquility,Departamento entero,1158.0,Bill,478,5.0,https://www.airbnb.mx/rooms/7309668?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,˯Studio Condo Whistler Village 422,Departamento entero,1158.0,Bill,,5.0,https://www.airbnb.mx/rooms/12310742?location=Whistler&previous_page_section_name=1000,3.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Peak View Penthouse,Loft entero,1868.0,Jane & James,,5.0,https://www.airbnb.mx/rooms/13348663?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,1 BR Townhome with Private Hot Tub - FREE PARKING,Casa adosada completa,1665.0,Ian,312,4.5,https://www.airbnb.mx/rooms/2520507?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Whistler Creekside Villa - single nights now open!,Departamento entero,1144.0,Beth,338,4.5,https://www.airbnb.mx/rooms/1295382?location=Whistler&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,Newly updated condo at Blackcomb base,Condominio completo,1448.0,Caroline,122,4.5,https://www.airbnb.mx/rooms/13126268?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,·Hotel Room Upper Village Tranquility,Alojamiento entero,1376.0,Bill,517,5.0,https://www.airbnb.mx/rooms/7310283?location=Whistler&previous_page_section_name=1000,2.0, '1 cama', '1 baño', '\U000f0004\n5056 evaluaciones',1.0,1.0,45056.0
Whistler,Modern Mountain Studio in the Village,Departamento con servicios completo,1868.0,Anya,134,5.0,https://www.airbnb.mx/rooms/14438965?location=Whistler&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,ˑEight People Upper Village Tranquility,Condominio completo,1231.0,Bill,319,5.0,https://www.airbnb.mx/rooms/13335461?location=Whistler&previous_page_section_name=1000,8.0, '1 recámara', '4 camas', '2 baños',1.0,4.0,2.0
Whistler,1 BR Townhouse with Private Hot Tub - FREE PARKING,Casa adosada completa,1839.0,Ian,318,4.5,https://www.airbnb.mx/rooms/4828768?location=Whistler&previous_page_section_name=1000,5.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Whistler,˙Studio Condo Whistler Village 207,Departamento entero,1520.0,Bill,286,5.0,https://www.airbnb.mx/rooms/16041781?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,MAIN VILLAGE SQUARE = Super central location!,Departamento entero,1665.0,Clare And Mike,306,5.0,https://www.airbnb.mx/rooms/14900711?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,"True Ski-in Ski-out, Studio, Greystone Lodge",Condominio completo,999.0,Lily,97,4.5,https://www.airbnb.mx/rooms/21255689?location=Whistler&previous_page_section_name=1000,2.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Symphony Studio in Whistler Village,Departamento entero,1737.0,Musubi,198,5.0,https://www.airbnb.mx/rooms/18074253?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Whistler,Ski in/out Stylish condo with pool/hot tub & views,Departamento entero,1289.0,Annika,203,5.0,https://www.airbnb.mx/rooms/4249398?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Whistler,Minimalist Vibe with Amazing Mountain Views,Departamento con servicios completo,1868.0,Victoria And Christian,337,5.0,https://www.airbnb.mx/rooms/13283018?location=Whistler&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Whistler,Cozy Whistler Village Studio,Condominio completo,1433.0,Tim And Andrea,312,5.0,https://www.airbnb.mx/rooms/4269069?location=Whistler&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
